pv,dv,hard,policy,stand,hit,split,double
13,3,True,STAND-HIT-DOUBLE DOWN,-3.245413689266308,-3.3979609987617114,,-19.45764418612908
13,10,False,HIT-DOUBLE DOWN-STAND,-6.922076518666815,-0.03167816663690512,,-6.413449742839763
13,6,True,STAND-HIT-DOUBLE DOWN,-1.7852454684277694,-3.1577628958941597,,-15.501843355218504
13,4,True,HIT-STAND-DOUBLE DOWN,-3.7182501892309765,-3.354652005478063,,-16.79799017561463
13,6,False,DOUBLE DOWN-HIT-STAND,-0.7860258827331298,0.8223493254927255,,4.52562879811364
13,2,True,HIT-STAND-DOUBLE DOWN,-4.814982710962258,-3.5261262393346517,,-16.360837409020768
13,7,True,HIT-STAND-DOUBLE DOWN,-5.067187685374483,-2.8816905935130293,,-17.08115280603537
13,8,True,HIT-STAND-DOUBLE DOWN,-5.563378187357657,-3.5586579363064113,,-17.740095576359884
13,5,True,STAND-HIT-DOUBLE DOWN,-2.816283875643503,-3.589662610964474,,-16.102407492934326
13,11,False,HIT-DOUBLE DOWN-STAND,-8.329680982994924,-0.3280879390967029,,-6.360655572215145
13,11,True,HIT-STAND-DOUBLE DOWN,-8.532623656836703,-4.408404629943895,,-23.598882174156945
13,9,True,HIT-STAND-DOUBLE DOWN,-5.893329740520095,-3.6231321964362717,,-17.328457472622905
13,8,False,HIT-DOUBLE DOWN-STAND,-3.5958215180656157,0.4778971604484439,,-2.5334043140660047
13,7,False,HIT-DOUBLE DOWN-STAND,-5.259517396403963,0.6272020851209262,,-4.282585966919172
13,4,False,HIT-DOUBLE DOWN-STAND,-2.2169069850916436,0.5175556837548525,,-1.2947115482524065
13,5,False,HIT-STAND-DOUBLE DOWN,0.27641547434041197,0.6095703802907856,,-0.5117586519265047
13,2,False,DOUBLE DOWN-HIT-STAND,-3.2504221007202685,0.3952610009489672,,2.7444346040503365
13,3,False,HIT-DOUBLE DOWN-STAND,-2.943867156974866,0.20762191682066816,,-0.016327324528275067
13,9,False,HIT-DOUBLE DOWN-STAND,-7.447598002061021,0.38111862607737634,,-4.58502521904352
14,2,True,SPLIT-HIT-STAND,-4.299391135272139,-3.987703840792113,-0.5638704396491543,-20.259322943120008
14,7,False,HIT-SPLIT-STAND,-4.194636074169505,0.1872296954884606,0.0,-4.3301564079725985
14,7,True,SPLIT-HIT-STAND,-5.685034186672857,-4.145522775917586,-0.32547765445744,-14.289386268080493
14,10,True,SPLIT-HIT-STAND,-6.789772905695139,-4.73911350294841,-1.0647969848114993,-22.408941139338076
14,9,True,SPLIT-HIT-STAND,-7.156184239977384,-4.5531872715126855,-0.9112713955845556,-21.383867355922025
14,11,True,SPLIT-HIT-STAND,-9.289156890954485,-5.096018489379403,-1.201469009552442,-24.847533211537915
14,5,True,SPLIT-STAND-HIT,-1.8667096884501018,-3.8482223703772696,-0.01551199558404158,-21.426036650953755
14,3,True,SPLIT-STAND-HIT,-3.6700436414233697,-4.10509081973389,-0.40776314013071496,-15.888976285217893
14,10,False,SPLIT-HIT-DOUBLE DOWN,-5.383192078573116,-0.11335921864735013,0.0,-1.42550862786179
14,6,True,SPLIT-STAND-HIT,-2.3683883567837225,-3.760981993589669,-0.06571864681368172,-20.162480674316736
14,4,True,SPLIT-STAND-HIT,-2.882326291838508,-4.179348446214482,-0.25778775272875093,-23.431276233540103
14,8,True,SPLIT-HIT-STAND,-7.250174980987202,-4.242913679338517,-0.7806245082872354,-23.765400328728376
14,8,False,HIT-DOUBLE DOWN-SPLIT,-1.5230766490145125,0.7451869192820483,0.0,0.16669759652709948
14,2,False,HIT-SPLIT-DOUBLE DOWN,-1.6869650761506514,0.2202797368247562,0.0,-0.26207110502717457
14,11,False,SPLIT-HIT-STAND,-5.606739389311954,-0.5472087304563388,0.0,-8.90858579087216
14,6,False,HIT-SPLIT-DOUBLE DOWN,-0.9027211300525053,0.7005643905143158,0.0,-0.08499863739478719
14,5,False,HIT-SPLIT-DOUBLE DOWN,-1.369523009253934,0.7888066793643551,0.0,-1.201439351030443
14,3,False,HIT-SPLIT-DOUBLE DOWN,-4.671128942317359,0.14452299466193722,0.0,-3.1459819453656213
14,4,False,HIT-DOUBLE DOWN-SPLIT,-4.97820881370892,0.6472802996284881,0.0,0.5386124214028507
14,9,False,HIT-SPLIT-STAND,-2.8156300902007847,0.2802826416584321,0.0,-7.121280901750999
15,6,False,HIT-STAND-DOUBLE DOWN,0.7019671639137692,0.8091087264236857,,0.475334859410125
15,6,True,STAND-HIT-DOUBLE DOWN,-2.032575744470784,-4.52379021000371,,-23.815788000351684
15,10,False,HIT-DOUBLE DOWN-STAND,-5.658511075737612,-0.3207418402472573,,-5.0070645958009665
15,8,True,HIT-STAND-DOUBLE DOWN,-5.956435995266383,-4.771310431781366,,-26.27494181460114
15,3,True,STAND-HIT-DOUBLE DOWN,-3.926264465736437,-4.662604773077863,,-25.26513635042902
15,7,True,HIT-STAND-DOUBLE DOWN,-5.558029954824427,-4.579942958081603,,-20.023655153379558
15,10,True,HIT-STAND-DOUBLE DOWN,-6.860413730965048,-5.21802501402369,,-27.113202025506766
15,9,True,HIT-STAND-DOUBLE DOWN,-6.325473663015324,-4.944123231573068,,-26.17549099180418
15,11,True,HIT-STAND-DOUBLE DOWN,-9.057418696459507,-5.636882941931237,,-30.271563587761623
15,2,True,STAND-HIT-DOUBLE DOWN,-3.500152028854393,-4.368219578450149,,-22.05257607745753
15,5,True,STAND-HIT-DOUBLE DOWN,-2.978619920085763,-4.886990559489692,,-23.531495017086204
15,2,False,DOUBLE DOWN-HIT-STAND,-3.736978734301722,0.1353541748815719,,1.7741731454284588
15,4,True,STAND-HIT-DOUBLE DOWN,-3.324121235463888,-5.597730553498332,,-19.919205047422636
15,9,False,HIT-STAND-DOUBLE DOWN,-5.694799528427406,-0.036142787759790664,,-6.925845452960516
15,3,False,HIT-DOUBLE DOWN-STAND,-1.3265356346693649,0.23404576070534958,,-0.1496557641134718
15,7,False,HIT-DOUBLE DOWN-STAND,-6.394617518020489,0.27264963732998043,,-4.917261925247887
15,5,False,DOUBLE DOWN-HIT-STAND,-3.0053023576269458,0.20400453824384573,,4.986888086995665
15,8,False,HIT-DOUBLE DOWN-STAND,-3.73097109009399,0.10266668023820584,,-0.596885683618916
15,11,False,HIT-STAND-DOUBLE DOWN,-9.305439991184185,-0.6600210091735845,,-9.541207635583264
15,4,False,HIT-STAND-DOUBLE DOWN,-4.180728342847312,0.42129917918840737,,-8.613053454079289
16,4,True,SPLIT-STAND-HIT,-3.058945694322133,-5.5834862386384225,0.24086956382967545,-24.542668355054676
16,9,True,SPLIT-HIT-STAND,-7.395271418396877,-5.859012906300561,-0.5507660618854967,-26.986332004146107
16,8,True,SPLIT-HIT-STAND,-6.1440610485076235,-5.4686884881368645,-0.20130426286731906,-26.085514877704107
16,10,True,SPLIT-HIT-STAND,-7.03911905242233,-5.923226662439005,-0.9209757238608284,-28.771409487933095
16,7,True,SPLIT-HIT-STAND,-6.191418828814708,-5.256585287078358,0.37841683434628104,-24.950769796397097
16,11,True,SPLIT-HIT-STAND,-9.631105737908666,-6.277732678595813,-1.150286112313201,-32.63214591348783
16,5,False,DOUBLE DOWN-HIT-SPLIT,-2.3162135324152806,0.742456022762223,0.0,1.211383294097418
16,5,True,SPLIT-STAND-HIT,-2.6266256876904235,-5.315796626767002,0.2678655036851644,-25.84697097254801
16,10,False,SPLIT-HIT-STAND,-5.145684496571739,-0.5800837763561031,0.0,-9.661225591687298
16,3,True,SPLIT-STAND-HIT,-3.2486314582096543,-4.7540462959871705,-0.04669273589605015,-25.586849224151404
16,2,True,SPLIT-STAND-HIT,-3.947931058402231,-6.0895299757316,0.3076568296139376,-29.49277191167982
16,6,True,SPLIT-STAND-HIT,-2.283018692166895,-5.534522248262918,0.2865259499963599,-21.892203845634366
16,2,False,HIT-SPLIT-DOUBLE DOWN,-4.139928556570723,0.05293941746182047,0.0,-1.4718102829291086
16,8,False,SPLIT-HIT-DOUBLE DOWN,-6.447702619368015,-0.19109780863155182,0.0,-0.6202094271997376
16,11,False,SPLIT-HIT-STAND,-6.881086254466542,-0.7112150802140256,0.0,-11.989527421379348
16,6,False,HIT-SPLIT-DOUBLE DOWN,-1.3213930151679079,0.5227709959288138,0.0,-0.2660135263499933
16,3,False,HIT-SPLIT-DOUBLE DOWN,-1.0070635653635125,0.17161685176350272,0.0,-0.09470145397616325
16,7,False,HIT-SPLIT-DOUBLE DOWN,-3.8596313957369803,0.11749385485158223,0.0,-0.10013849275055442
16,9,False,HIT-SPLIT-DOUBLE DOWN,-6.468354882482571,0.009163069940186643,0.0,-5.340087548622764
16,4,False,HIT-SPLIT-DOUBLE DOWN,-2.8019409667373187,0.08411315096166228,0.0,-0.3252529870895272
17,9,True,STAND-HIT-DOUBLE DOWN,-5.712847910950204,-6.3616904366587965,,-31.16315790811134
17,10,False,HIT-STAND-DOUBLE DOWN,-4.972584108983368,-0.637377641428832,,-6.605986077670054
17,10,True,STAND-HIT-DOUBLE DOWN,-6.403607841626977,-6.500234776769088,,-32.997232387641645
17,6,True,STAND-HIT-DOUBLE DOWN,-0.15257592463455386,-5.607549978802314,,-31.980236646838787
17,5,True,STAND-HIT-DOUBLE DOWN,-0.04657501362357527,-5.802581135814988,,-29.210152729359027
17,4,True,STAND-HIT-DOUBLE DOWN,-1.6614368319411787,-6.768011142240598,,-33.67295116787518
17,7,True,STAND-HIT-DOUBLE DOWN,-1.4908558861032508,-6.099982435432316,,-32.282952508670725
17,8,True,STAND-HIT-DOUBLE DOWN,-4.879210837187472,-6.335197706591685,,-30.86185092419381
17,11,True,HIT-STAND-DOUBLE DOWN,-8.40607831263522,-6.625464512356406,,-34.09194771946895
17,2,True,STAND-HIT-DOUBLE DOWN,-2.2486827252546586,-5.558534612904363,,-32.068175631285065
17,3,True,STAND-HIT-DOUBLE DOWN,-1.8723055187857933,-5.9158846052843,,-31.566141682355894
17,6,False,HIT-STAND-DOUBLE DOWN,0.4598513685592599,0.8022843031730627,,0.13205382840495433
17,4,False,HIT-DOUBLE DOWN-STAND,-0.5729440042906326,0.22205468071625697,,-0.1783824800552105
17,5,False,DOUBLE DOWN-HIT-STAND,-0.6014385895900922,0.5744105611005399,,2.5594999929923854
17,2,False,HIT-DOUBLE DOWN-STAND,-1.2632965849807931,0.21336014468920253,,-0.20986531494852229
17,3,False,HIT-DOUBLE DOWN-STAND,-1.3287428657530787,0.39575783559058575,,-0.6269210509728536
